question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty
91,"A car's fuel efficiency is 25 miles per gallon. If the car has a 15-gallon tank, how many miles can it travel on a full tank?",375 miles,Distance = Fuel efficiency * Gallons = 25 miles/gallon * 15 gallons = 375 miles,"Solve the following math problem: A car's fuel efficiency is 25 miles per gallon. If the car has a 15-gallon tank, how many miles can it travel on a full tank?
Answer: To find the total distance the car can travel on a full tank, we need to multiply the fuel efficiency (25 miles per gallon) by the tank capacity (15 gallons).
Total distance = Fuel efficiency * Tank capacity
Total distance = 25 miles/gallon * 15 gallons
Total distance = 375 miles
Therefore, the car can travel 375 miles on a full tank.
The answer is 375 miles.",Distance-Rate-Time,Medium
92,A recipe requires 4 cups of flour for 2 loaves of bread. How much flour is needed for 5 loaves?,10 cups of flour,"Flour per loaf = 4 cups / 2 loaves = 2 cups/loaf
Flour for 5 loaves = 2 cups/loaf * 5 = 10 cups","Solve the following math problem: A recipe requires 4 cups of flour for 2 loaves of bread. How much flour is needed for 5 loaves?
Answer: To find out how much flour is needed for 5 loaves of bread, we need to determine the ratio of flour to loaves. 

Given that the recipe requires 4 cups of flour for 2 loaves, we can set up a proportion:

4 cups of flour / 2 loaves = x cups of flour / 5 loaves

To solve for x, we can cross-multiply:

4 cups of flour * 5 loaves = 2 loaves * x cups of flour

20 cups of flour = 2x

Dividing both sides by 2, we get:

10 cups of flour = x

Therefore,",Proportion Problems,Easy
93,"If a person earns $50,000 a year and receives a 10% raise, what will their new salary be?","$55,000","New salary = $50,000 * (1 + 0.10) = $55,000","Solve the following math problem: If a person earns $50,000 a year and receives a 10% raise, what will their new salary be?
Answer: To find the new salary, we need to add the raise to the original salary. The raise is 10% of $50,000, which is $5,000. So the new salary is $50,000 + $5,000 = $55,000. 
Therefore, the answer is $55,000.",Percentage Problems,Easy
94,A triangle has two sides of lengths 5 and 12. What is the length of the third side if the perimeter is 30?,13,"Let third side = x, 5 + 12 + x = 30
x = 30 - 17 = 13","Solve the following math problem: A triangle has two sides of lengths 5 and 12. What is the length of the third side if the perimeter is 30?
Answer: Let the length of the third side be $x$. Using the perimeter formula, we have:

$5 + 12 + x = 30$

Simplifying, we get:

$x = 13$

Therefore, the length of the third side is 13.",Geometry,Medium
95,"If 75% of a number is 60, what is the number?",80,"Let number = x, 0.75x = 60
x = 60 / 0.75 = 80","Solve the following math problem: If 75% of a number is 60, what is the number?
Answer: Let the number be $x$. We know that 75% of $x$ is 60, so we can set up the equation:
$$0.75x=60$$
To solve for $x$, we can divide both sides by 0.75:
$$x=\frac{60}{0.75}=80$$
Therefore, the number is 80.",Percentage Problems,Medium
96,"A boat can travel at 15 miles per hour in still water. If the current is 3 miles per hour, what is the boat's speed upstream?",12 miles per hour,Upstream speed = boat speed - current speed = 15 - 3 = 12 miles/hour,"Solve the following math problem: A boat can travel at 15 miles per hour in still water. If the current is 3 miles per hour, what is the boat's speed upstream?
Answer: Let's call the speed of the boat upstream ""x"". We know that the boat's speed downstream will be 15 + 3 = 18 miles per hour. Using the formula ""distance = rate x time"", we can set up the equation:
distance upstream = distance downstream
(x - 3)t = (15 + 3)t
Simplifying the equation, we get:
xt - 3t = 18t
xt = 21t
x = 21/t
We also know that the distance traveled upstream is the same as the distance traveled downstream, so we can set up another equation:
distance upstream",Current-Speed Problems,Medium
97,"A box contains 20 chocolates, 12 are dark chocolate. What fraction of the chocolates are not dark chocolate?",2/5,"Number of non-dark chocolates = 20 - 12 = 8
Fraction not dark = 8 / 20 = 2/5","Solve the following math problem: A box contains 20 chocolates, 12 are dark chocolate. What fraction of the chocolates are not dark chocolate?
Answer: To find the fraction of chocolates that are not dark chocolate, we need to subtract the number of dark chocolates from the total number of chocolates and then divide by the total number of chocolates. 

Total chocolates = 20
Number of dark chocolates = 12
Number of chocolates that are not dark chocolate = 20 - 12 = 8

Fraction of chocolates that are not dark chocolate = 8/20 = 2/5

Therefore, the answer is 2/5.",Fractions,Easy
98,A car can travel 300 miles on 10 gallons of gas. How many miles can it travel on 25 gallons?,750 miles,"Miles per gallon = 300 miles / 10 gallons = 30 miles/gallon
Distance = 30 miles/gallon * 25 gallons = 750 miles","Solve the following math problem: A car can travel 300 miles on 10 gallons of gas. How many miles can it travel on 25 gallons?
Answer: To find the number of miles the car can travel on 25 gallons of gas, we need to set up a proportion using the given information.

Let's denote the number of miles the car can travel on 25 gallons as ""x"". The proportion can be set up as:

300 miles / 10 gallons = x miles / 25 gallons

To solve for x, we can cross-multiply:

10 * x = 300 * 25

Simplifying the equation, we have:

10x = 7500

Dividing both sides of the equation by 10,",Distance-Rate-Time,Medium
99,"A restaurant bill is $120. If you want to leave a 15% tip, how much should you leave?",$18,Tip = 15% of $120 = 0.15 * 120 = $18,"Solve the following math problem: A restaurant bill is $120. If you want to leave a 15% tip, how much should you leave?
Answer: To calculate the tip, we need to find 15% of the bill amount. We can do this by multiplying the bill amount by 0.15 (or 15/100). 
15% of $120 = 0.15 x $120 = $18
Therefore, the amount of the tip should be $18.
The answer is $18.",Percentage Problems,Easy
100,"A package weighs 8 pounds. If you want to divide it into 4 equal parts, how much does each part weigh?",2 pounds,Weight per part = 8 pounds / 4 = 2 pounds,"Solve the following math problem: A package weighs 8 pounds. If you want to divide it into 4 equal parts, how much does each part weigh?
Answer: To find the weight of each part, we need to divide the total weight of the package (8 pounds) by the number of parts (4).
8 pounds ÷ 4 = 2 pounds
Therefore, each part weighs 2 pounds.
The answer is 2 pounds.",Division,Easy
